,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,XY (CABA),pos x,pos y,VICTIMA,ACUSADO
412,2018-0138,1,2018-12-21,2018,12,21,9,CALLE,Point (95944.83421152 100945.68379559),-58.50751833,-34.62073702,PASAJEROS,PASAJEROS
413,2018-0139,1,2018-12-22,2018,12,22,6,CALLE,Point (101510.09611838 98933.71958961),-58.44682986,-34.63888084,MOTO,MOTO
414,2018-0140,1,2018-12-22,2018,12,22,8,CALLE,Point (109469.86887005 101709.86665960),-58.3600465,-34.61381341,AUTO,AUTO
415,2018-0141,1,2018-12-22,2018,12,22,17,AVENIDA,Point (104420.68512694 100931.98574919),-58.41509546,-34.62085945,PEATON,MOTO
416,2018-0142,1,2018-12-25,2018,12,25,13,GRAL PAZ,Point (95716.93710226 106295.47905158),-58.50997604,-34.57251072,CARGAS,PASAJEROS
417,2018-0143,1,2018-12-29,2018,12,29,5,AVENIDA,Point (97912.79273192 98756.38729095),-58.48606475,-34.64047818,MOTO,AUTO
418,2019-0001,1,2019-01-08,2019,1,8,8,AVENIDA,Point (107160.34141948 105678.38284277),-58.38526125,-34.5780581,MOTO,CARGAS
419,2019-0002,1,2019-01-09,2019,1,9,4,AVENIDA,Point (100794.20933352 97609.18063839),-58.45463662,-34.65082149,AUTO,CARGAS
420,2019-0003,1,2019-01-12,2019,1,12,8,AVENIDA,Point (97439.07314838 103559.40773606),-58.49121672,-34.59718073,MOTO,AUTO
421,2019-0004,1,2019-01-14,2019,1,14,19,AVENIDA,Point (99087.21233087 97384.56622913),-58.47325712,-34.65284605,AUTO,PASAJEROS
422,2019-0005,1,2019-01-19,2019,1,19,12,AVENIDA,Point (94701.87719386 99493.36109269),-58.52108101,-34.63382309,MOTO,CARGAS
423,2019-0006,1,2019-01-23,2019,1,23,5,AVENIDA,Point (104292.73762877 108227.37900690),-58.41652702,-34.55509606,PEATON,AUTO
424,2019-0007,1,2019-01-26,2019,1,26,19,CALLE,Point (103153.61467028 102057.67908768),-58.42891604,-34.6107166,MOTO,AUTO
